lead_time,days_in_waiting_list,adr,revenue,total_of_special_requests,booking_changes,is_canceled,customer_type_id,guest_type_id,hotel_id,arrival_date_id,nights_stayed_id,reservation_details_id,market_key,guests_info_id,reservation_status_id,deposit_type_id,primary_key
45,0,117.81,0.0,0,0,1,2,2,1,2,12,11,6,39,2,1,39
45,0,79.5,397.5,0,0,0,4,2,1,2,12,13,7,40,1,1,40
16,0,123.0,615.0,0,0,0,1,2,1,2,12,12,1,41,1,1,41
70,0,137.0,685.0,1,0,0,1,2,1,2,12,16,9,42,1,1,42
107,0,110.7,774.9,2,0,0,2,2,1,2,7,2,3,43,1,1,43
47,0,153.0,0.0,0,0,1,2,5,1,2,7,11,3,44,2,1,44
96,0,58.95,412.65000000000003,1,0,0,1,2,1,2,7,2,14,45,1,1,45
113,0,82.88,580.16,2,0,0,5,2,1,2,7,6,15,46,1,1,46
90,0,82.35,576.4499999999999,0,1,0,4,2,1,2,7,17,16,47,1,1,47
50,0,119.35,835.4499999999999,1,1,0,1,2,1,2,7,18,6,48,1,1,48
113,0,67.58,473.06,2,0,0,5,2,1,2,7,13,15,49,1,1,49
93,0,56.01,616.11,0,0,0,4,2,1,2,13,2,15,50,1,1,50
76,0,110.7,1549.8,0,0,0,4,2,1,2,8,13,16,51,1,1,51
3,0,88.2,88.2,0,0,0,1,2,1,2,1,19,3,52,1,1,52
1,0,147.0,147.0,0,0,0,1,2,1,2,1,20,3,53,1,1,53
1,0,107.0,107.0,2,0,0,1,5,1,2,1,21,1,54,1,1,54
0,0,147.0,147.0,0,0,0,2,2,1,2,1,22,1,55,1,1,55
0,0,117.9,117.9,2,0,0,2,2,1,2,1,23,3,56,1,1,56
0,0,123.0,123.0,0,0,0,2,2,1,2,1,11,1,57,1,1,57
14,0,98.0,196.0,1,0,0,1,2,1,2,2,1,17,58,1,1,58
10,0,117.81,235.62,0,0,0,2,2,1,2,2,11,6,59,1,1,59
5,0,135.0,270.0,2,0,0,1,2,1,2,2,24,3,60,1,1,60
17,0,133.0,399.0,1,0,0,1,2,1,2,3,12,9,61,1,1,61
93,0,58.95,176.85000000000002,0,0,0,4,2,1,2,3,1,10,62,1,1,62
3,0,136.33,0.0,2,0,1,2,2,1,2,3,25,3,63,2,1,63
10,0,153.0,306.0,0,0,0,1,5,1,3,2,26,3,64,1,1,64
3,0,110.5,221.0,0,0,0,1,2,1,3,2,1,3,65,1,1,65
51,0,97.0,194.0,0,0,0,1,2,1,3,2,13,17,66,1,1,66
71,0,110.3,0.0,2,0,1,2,4,1,3,2,2,18,67,2,1,67
63,0,82.0,0.0,2,0,1,2,2,1,3,2,2,3,68,2,1,68
62,0,97.0,0.0,1,0,1,2,2,1,3,2,13,3,69,2,1,69
101,0,73.8,0.0,1,0,1,2,2,1,3,2,2,3,70,2,1,70
2,0,91.5,183.0,0,0,0,2,2,1,3,2,25,19,71,1,1,71
15,0,114.5,229.0,0,0,0,1,2,1,3,2,2,3,72,1,1,72
51,0,110.3,0.0,0,0,1,2,4,1,3,2,2,17,73,2,1,73
3,0,90.9,272.70000000000005,0,0,0,1,2,1,3,14,27,3,74,1,1,74
48,0,123.0,0.0,0,0,1,2,2,1,3,14,6,3,75,2,1,75
2,0,122.0,488.0,0,0,0,2,1,1,3,15,2,3,76,1,1,76
72,0,110.7,442.8,0,0,0,1,2,1,3,15,27,20,77,1,1,77
81,0,85.86,686.88,0,0,0,2,4,1,3,16,13,11,78,1,1,78
99,0,58.95,530.5500000000001,0,0,0,4,2,1,3,17,2,21,79,1,1,79
368,0,55.68,0.0,0,0,1,3,2,1,3,18,2,21,80,2,1,80
364,0,55.68,556.8,0,0,0,4,2,1,3,18,2,21,81,1,1,81
81,0,124.0,0.0,1,2,1,2,2,1,3,18,25,9,82,2,1,82
99,0,111.15,1111.5,0,0,0,4,2,1,3,18,16,10,83,1,1,83
324,0,134.73,1886.2199999999998,0,0,0,4,2,1,3,8,16,21,84,1,1,84
69,0,92.45,1294.3,1,1,0,1,2,1,3,8,12,6,85,1,1,85
79,0,108.73,0.0,2,0,1,2,3,1,3,19,2,18,86,2,1,86
12,0,73.8,73.8,0,0,0,1,2,1,3,1,1,3,87,1,1,87
9,0,98.0,98.0,2,0,0,2,2,1,3,1,19,3,88,1,1,88
1,0,131.0,131.0,1,0,0,1,2,1,3,1,1,3,89,1,1,89
21,0,123.0,123.0,0,0,0,2,2,1,3,1,6,3,90,1,1,90
9,0,94.71,94.71,0,0,0,1,2,1,3,1,3,6,91,1,1,91
109,0,123.0,123.0,2,0,0,1,2,1,3,1,2,3,92,1,1,92
109,0,123.0,0.0,1,0,1,2,2,1,3,2,2,3,93,2,1,93
72,0,73.8,0.0,1,0,1,2,2,1,3,2,2,3,94,2,1,94
63,0,117.0,0.0,1,0,1,2,2,1,3,7,12,17,95,2,1,95
63,0,196.54,1375.78,1,0,0,1,4,1,3,7,16,20,96,1,1,96
101,0,99.3,695.1,2,0,0,2,3,1,3,7,15,3,97,1,1,97
102,0,90.95,636.65,0,0,0,1,2,1,3,7,6,9,98,1,1,98
4,0,92.67,278.01,1,0,0,1,2,1,4,20,1,9,99,1,1,99
98,0,71.55,214.64999999999998,0,0,0,1,2,1,4,20,15,7,100,1,1,100
92,0,96.49,578.9399999999999,2,0,0,1,6,1,4,6,12,12,101,1,1,101
95,0,85.8,514.8,2,0,0,2,2,1,4,6,19,3,102,1,1,102
102,0,96.3,674.1,1,0,0,2,2,1,4,7,6,3,103,1,1,103
26,0,163.0,0.0,0,0,1,2,5,1,4,7,22,3,104,2,1,104
73,0,172.0,0.0,1,0,1,2,4,1,4,7,5,9,105,2,1,105
102,0,110.7,0.0,1,0,1,2,2,1,4,7,2,3,106,2,1,106
115,0,58.95,412.65000000000003,1,0,0,2,2,1,4,7,2,14,107,1,1,107
102,0,73.8,516.6,2,0,0,2,7,1,4,7,2,3,108,1,1,108
86,0,97.0,679.0,2,0,0,1,2,1,4,7,13,3,109,1,1,109
78,0,139.0,973.0,2,0,0,2,7,1,4,7,18,3,110,1,1,110
52,0,67.24,470.67999999999995,0,0,0,1,2,1,4,7,2,22,111,1,1,111
29,0,116.5,932.0,1,0,0,2,4,1,4,16,6,6,112,1,1,112
101,0,96.3,0.0,1,0,1,2,2,1,4,16,6,3,113,2,1,113
109,0,123.0,984.0,1,0,0,2,2,1,4,16,2,3,114,1,1,114
92,0,71.55,715.5,1,0,0,4,2,1,4,21,13,21,115,1,1,115
92,0,71.55,715.5,1,0,0,3,2,1,4,21,13,21,116,1,1,116
79,0,149.0,1490.0,1,1,0,2,3,1,4,21,5,9,117,1,1,117
2,0,163.0,163.0,0,1,0,2,5,1,4,1,28,3,118,1,1,118
30,0,79.5,79.5,0,0,0,3,2,1,4,1,29,7,119,1,1,119
51,0,105.0,0.0,0,0,1,2,1,1,4,1,25,3,120,2,1,120
36,0,123.0,0.0,0,1,1,2,1,1,4,1,30,9,121,3,1,121
73,0,73.8,0.0,2,0,1,2,2,1,4,1,2,3,122,2,1,122
33,0,113.0,0.0,0,0,1,2,2,1,4,1,13,3,123,2,1,123
32,0,94.59,94.59,1,2,0,2,8,1,4,1,31,23,124,1,1,124
8,0,123.0,123.0,0,0,0,1,2,1,4,1,6,3,125,1,1,125
100,0,73.8,147.6,1,0,0,5,2,1,4,22,19,3,126,1,1,126
1,0,114.5,229.0,0,0,0,2,2,1,4,22,2,3,127,1,1,127
100,0,73.8,147.6,2,0,0,5,2,1,4,22,2,3,128,1,1,128
100,0,73.8,147.6,1,0,0,5,2,1,4,22,1,3,129,1,1,129
9,0,88.2,88.2,1,0,0,1,2,1,5,23,1,3,130,1,1,130
5,0,97.0,0.0,0,0,1,2,2,1,5,23,13,3,131,2,1,131
0,0,85.1,85.1,0,1,0,1,2,1,5,23,1,24,132,1,1,132
9,0,89.0,89.0,0,0,0,1,1,1,5,23,2,25,133,1,1,133
2,0,80.1,80.1,0,0,0,2,1,1,5,23,23,3,134,1,1,134
2,0,98.0,98.0,0,0,0,2,2,1,5,23,9,3,135,1,1,135
9,0,101.0,101.0,0,0,0,1,1,1,5,23,27,25,136,1,1,136
5,0,97.0,0.0,0,0,1,2,2,1,5,23,13,3,137,2,1,137
2,0,167.0,167.0,1,0,0,2,2,1,5,23,11,1,138,1,1,138
44,0,209.20499999999998,418.40999999999997,0,3,0,2,4,1,5,24,32,3,139,1,1,139
80,0,97.0,194.0,0,0,0,1,2,1,5,24,33,3,140,1,1,140
97,0,87.3,349.2,2,0,0,1,2,1,5,15,13,3,141,1,1,141
109,0,85.59,427.95000000000005,2,0,0,1,3,1,5,12,34,12,142,1,1,142
30,0,123.0,615.0,0,0,0,1,2,1,5,12,6,3,143,1,1,143
64,0,107.0,535.0,0,0,0,2,2,1,5,12,6,3,144,1,1,144
39,0,163.0,978.0,0,0,0,1,2,1,5,6,22,3,145,1,1,145
90,0,82.0,492.0,0,0,0,2,2,1,5,6,2,3,146,1,1,146
34,0,163.0,0.0,0,0,1,2,5,1,5,6,22,3,147,2,1,147
93,0,105.5,0.0,0,0,1,2,2,1,5,7,5,5,148,2,1,148
97,0,164.2,1149.3999999999999,1,1,0,2,5,1,5,7,35,9,149,1,1,149
29,0,97.29,681.0300000000001,1,0,0,1,2,1,5,7,12,6,150,1,1,150
101,0,114.0,0.0,1,0,1,2,2,1,5,7,25,3,151,2,1,151
27,0,98.4,688.8000000000001,0,0,0,1,2,1,5,7,6,13,152,1,1,152
8,0,175.0,1575.0,1,1,0,1,5,1,5,25,20,3,153,1,1,153
82,0,63.6,636.0,2,0,0,2,2,1,5,21,15,11,154,1,1,154
94,0,124.45,1244.5,1,3,0,2,4,1,5,21,36,1,155,1,1,155
110,0,110.7,1217.7,0,0,0,4,2,1,5,26,13,21,156,1,1,156
96,0,74.07,1036.98,0,0,0,4,1,1,5,8,25,21,157,1,1,157
79,0,134.1,1877.3999999999999,0,0,0,4,2,1,5,8,5,16,158,1,1,158
115,0,167.0,835.0,0,1,0,2,5,1,6,5,11,3,159,1,1,159
111,0,123.0,492.0,2,0,0,2,2,1,6,11,1,3,160,1,1,160
51,0,117.81,471.24,2,0,0,1,2,1,6,11,37,6,161,1,1,161
94,0,171.32,685.28,1,0,0,1,4,1,6,11,13,26,162,1,1,162
81,0,209.20499999999998,836.8199999999999,0,0,0,1,5,1,6,11,38,9,163,1,1,163
84,0,97.0,388.0,2,1,0,2,7,1,6,11,7,3,164,1,1,164
51,0,117.81,471.24,2,0,0,1,4,1,6,11,11,6,165,1,1,165
2,0,131.0,131.0,0,0,0,2,3,1,6,23,9,1,166,1,1,166
7,0,98.0,196.0,2,0,0,2,2,1,6,22,9,3,167,1,1,167
98,0,87.3,174.6,1,0,0,1,2,1,6,22,39,3,168,1,1,168
95,0,97.0,291.0,1,0,0,1,2,1,6,14,13,3,169,1,1,169
48,0,167.0,0.0,0,0,1,2,2,1,6,11,16,3,170,2,1,170
66,0,91.5,366.0,0,0,0,2,2,1,6,11,40,13,171,1,1,171
104,0,73.8,295.2,1,1,0,2,2,1,6,11,1,3,172,1,1,172
28,0,123.0,615.0,0,0,0,2,2,1,6,5,6,3,173,1,1,173
34,0,175.0,875.0,0,0,0,2,2,1,6,5,41,9,174,1,1,174
98,0,117.8,706.8,1,0,0,1,2,1,6,27,42,3,175,1,1,175
104,0,117.63,705.78,0,1,0,2,2,1,6,27,6,3,176,1,1,176
68,0,185.0,1295.0,0,0,0,2,5,1,6,7,8,3,177,1,1,177
86,0,71.0,0.0,1,0,1,2,1,1,6,7,25,13,178,2,1,178
258,0,47.25,330.75,0,0,0,4,2,1,6,7,2,27,179,1,1,179
111,0,151.0,1208.0,1,0,0,2,2,1,6,28,43,3,180,1,1,180
94,0,87.3,0.0,0,0,1,2,2,1,6,18,13,3,181,2,1,181
112,0,120.6,1206.0,1,0,0,1,2,1,6,18,2,18,182,1,1,182
100,0,63.86,638.6,1,1,0,1,2,1,6,18,13,12,183,1,1,183
33,0,157.1,1571.0,1,5,0,2,2,1,6,18,44,9,184,1,1,184
97,0,91.37,913.7,2,0,0,4,2,1,6,18,5,15,185,1,1,185
80,0,73.0,803.0,0,1,0,1,1,1,6,13,2,1,186,1,1,186
90,0,110.7,1549.8,0,0,0,4,2,1,6,8,13,7,187,1,1,187
111,0,93.6,1310.3999999999999,0,0,0,4,2,1,6,8,2,21,188,1,1,188
65,0,83.5,584.5,0,0,0,2,2,1,6,7,13,28,189,1,1,189
67,0,73.8,0.0,1,0,1,2,2,1,7,2,2,3,190,2,1,190
55,0,82.0,246.0,2,0,0,1,2,1,7,3,27,3,191,1,1,191
21,0,185.5,556.5,1,0,0,2,3,1,7,3,44,9,192,1,1,192
0,0,109.8,109.8,3,0,0,1,1,1,7,1,2,3,193,1,1,193
0,0,195.0,195.0,0,0,0,2,4,1,7,1,35,1,194,1,1,194
0,0,109.8,109.8,3,0,0,1,1,1,7,1,2,3,195,1,1,195
8,0,193.0,772.0,1,2,0,1,9,1,7,4,22,3,196,1,1,196
66,0,97.0,388.0,2,0,0,2,2,1,7,4,13,3,197,1,1,197
88,0,150.0,600.0,1,0,0,1,4,1,7,4,45,29,198,1,1,198
0,0,98.0,392.0,0,2,0,1,2,1,7,4,2,1,199,1,1,199
43,0,91.5,0.0,0,0,1,2,2,1,7,29,25,14,200,2,1,200
88,0,139.0,0.0,2,0,1,2,2,1,7,7,16,3,201,2,1,201
54,0,79.5,556.5,0,0,0,1,2,1,7,7,13,7,202,1,1,202
292,0,47.25,0.0,0,0,1,3,2,1,7,7,2,27,203,2,1,203
112,0,126.65,1773.1000000000001,1,0,0,4,2,1,7,8,5,15,204,1,1,204
68,0,107.0,321.0,1,0,0,1,2,1,8,3,6,3,205,1,1,205
7,0,131.0,524.0,2,0,0,2,2,1,8,4,27,3,206,1,1,206
1,0,131.0,524.0,1,0,0,1,2,1,8,4,27,3,207,1,1,207
113,0,123.0,0.0,1,0,1,2,2,1,8,4,2,3,208,2,1,208
5,0,146.0,584.0,1,0,0,1,2,1,8,4,13,3,209,1,1,209
83,0,110.7,442.8,1,0,0,2,2,1,8,4,2,20,210,1,1,210
105,0,73.8,0.0,1,0,1,2,2,1,8,4,2,3,211,2,1,211
0,0,61.0,61.0,0,0,0,2,1,1,8,1,2,30,212,1,1,212
1,0,104.72,0.0,1,0,1,2,2,1,8,1,2,8,213,2,1,213
1,0,104.72,0.0,1,0,1,2,2,1,8,1,2,8,214,2,1,214
1,0,104.72,209.44,1,0,0,1,2,1,8,2,46,8,215,1,1,215
102,0,66.42,0.0,1,0,1,2,2,1,8,5,2,31,216,2,1,216
113,0,77.96,467.76,1,1,0,2,2,1,8,6,24,9,217,1,1,217
280,0,112.0,0.0,1,0,1,3,3,1,8,7,5,21,218,2,1,218
96,0,107.0,749.0,1,0,0,1,2,1,8,7,47,3,219,1,1,219
394,0,89.68,627.76,0,0,0,4,2,1,8,7,5,21,220,1,1,220
33,0,155.0,1085.0,0,0,0,2,2,1,8,7,16,3,221,1,1,221
82,0,112.0,896.0,1,0,0,1,4,1,8,16,2,9,222,1,1,222
100,0,130.1,1170.8999999999999,3,1,0,5,4,1,8,17,6,3,223,1,1,223
100,0,100.1,900.9,2,0,0,5,2,1,8,17,6,3,224,1,1,224
17,0,123.0,123.0,3,0,0,2,5,1,9,1,3,17,225,1,1,225
68,0,124.0,248.0,1,0,0,1,4,1,9,2,19,9,226,1,1,226
12,0,146.0,292.0,0,2,0,2,5,1,9,2,28,1,227,1,1,227
77,0,97.0,0.0,0,0,1,2,2,1,9,3,13,9,228,2,1,228
24,0,123.0,0.0,1,0,1,2,5,1,9,3,3,17,229,2,1,229
44,0,153.0,0.0,0,0,1,2,5,1,9,3,11,3,230,2,1,230
78,0,82.0,246.0,2,0,0,2,7,1,9,3,2,3,231,1,1,231
17,0,105.08,0.0,0,0,1,2,2,1,9,11,2,3,232,2,1,232
103,0,65.42,0.0,0,0,1,2,2,1,9,11,2,3,233,2,1,233
16,0,98.0,392.0,1,0,0,1,1,1,9,11,2,9,234,1,1,234
14,0,75.46,377.29999999999995,1,0,0,1,2,1,9,12,27,6,235,1,1,235
77,0,65.5,327.5,0,0,0,1,2,1,9,12,2,32,236,1,1,236
90,0,90.95,636.65,0,0,0,1,2,1,9,7,23,33,237,1,1,237
90,0,93.6,655.1999999999999,0,0,0,4,2,1,9,7,2,21,238,1,1,238
90,0,119.25,834.75,0,0,0,4,2,1,9,7,6,34,239,1,1,239
366,0,134.73,943.1099999999999,0,0,0,4,2,1,9,7,16,21,240,1,1,240
249,0,112.0,784.0,1,0,0,2,2,1,9,7,25,3,241,1,1,241
69,0,118.13,0.0,2,0,1,2,2,1,9,16,25,3,242,2,1,242
10,0,131.0,131.0,0,0,0,1,2,1,10,1,2,9,243,1,1,243
22,0,88.2,176.4,0,0,0,2,2,1,10,2,2,3,244,1,1,244
91,0,73.8,147.6,1,0,0,2,2,1,10,2,2,3,245,1,1,245
23,0,98.0,196.0,0,0,0,2,2,1,10,2,2,3,246,1,1,246
11,0,110.5,221.0,1,0,0,2,2,1,10,2,2,3,247,1,1,247
3,0,131.0,262.0,1,0,0,2,2,1,10,2,2,3,248,1,1,248
13,0,185.0,370.0,1,2,0,2,3,1,10,2,38,3,249,1,1,249
108,0,87.3,174.6,2,1,0,2,2,1,10,2,13,3,250,1,1,250
91,0,73.8,147.6,1,0,0,2,2,1,10,2,2,3,251,1,1,251
37,0,120.0,360.0,1,0,0,1,2,1,10,14,3,35,252,1,1,252
21,0,98.0,294.0,1,0,0,1,2,1,10,14,1,9,253,1,1,253
106,0,96.3,288.9,2,0,0,1,2,1,10,14,6,3,254,1,1,254
30,0,197.0,788.0,1,0,0,6,2,1,10,15,48,1,255,1,1,255
30,0,197.0,788.0,1,0,0,6,2,1,10,15,48,1,256,1,1,256
51,0,123.0,0.0,0,0,1,2,2,1,10,12,6,3,257,2,1,257
79,0,82.0,410.0,2,0,0,1,2,1,10,12,2,3,258,1,1,258
21,0,165.0,825.0,3,1,0,2,10,1,10,12,35,9,259,1,1,259
35,0,149.4,747.0,0,0,0,1,5,1,10,12,11,3,260,1,1,260
78,0,106.84,747.88,2,1,0,2,2,1,10,7,49,3,261,1,1,261
31,0,161.0,1127.0,1,1,0,2,2,1,10,7,50,9,262,1,1,262
78,0,134.43,941.01,2,1,0,2,2,1,10,7,5,3,263,1,1,263
78,0,144.43,1011.01,2,1,0,2,2,1,10,7,51,3,264,1,1,264
44,0,152.0,1064.0,0,2,0,1,1,1,10,7,16,36,265,1,1,265
34,0,125.54,878.7800000000001,3,0,0,1,3,1,10,7,44,6,266,1,1,266
87,0,133.83,936.8100000000001,2,0,0,2,11,1,10,7,4,11,267,1,1,267
11,0,159.75,1278.0,0,0,0,2,12,1,10,16,21,9,268,1,1,268
115,0,120.6,1085.3999999999999,2,0,0,1,2,1,10,17,2,3,269,1,1,269
86,0,112.2,1122.0,0,0,0,2,2,1,10,18,13,3,270,1,1,270
41,0,110.6,1216.6,0,0,0,1,7,1,10,26,12,6,271,1,1,271
32,0,105.9,1376.7,0,0,0,1,2,1,10,30,3,6,272,1,1,272
34,0,95.27,666.89,3,0,0,1,3,1,10,7,5,6,273,1,1,273
34,0,108.83,761.81,1,0,0,1,2,1,10,7,44,6,274,1,1,274
100,0,153.96,0.0,0,0,1,2,3,1,11,12,25,37,275,2,1,275
44,0,120.6,603.0,0,0,0,1,2,1,11,12,2,3,276,1,1,276
304,0,90.67,544.02,1,1,0,2,7,1,11,6,2,38,277,1,1,277
36,0,126.67,0.0,0,0,1,2,2,1,11,6,6,3,278,2,1,278
117,0,144.4,866.4000000000001,1,0,0,2,4,1,11,6,5,5,279,1,1,279
70,0,99.5,597.0,2,0,0,1,2,1,11,6,27,3,280,1,1,280
110,0,139.4,975.8000000000001,1,0,0,2,2,1,11,7,6,9,281,1,1,281
109,0,73.8,0.0,1,0,1,2,2,1,11,7,2,3,282,2,1,282
33,0,89.97,359.88,1,0,0,1,2,1,11,15,6,6,283,1,1,283
33,0,123.0,492.0,0,0,0,2,2,1,11,15,6,3,284,1,1,284
33,0,123.0,492.0,0,1,0,1,2,1,11,15,6,3,285,1,1,285
0,0,123.0,123.0,0,0,0,1,1,1,11,1,2,1,286,1,1,286
0,0,144.9,144.9,1,1,0,1,2,1,11,1,25,3,287,1,1,287
0,0,153.0,153.0,0,0,0,1,2,1,11,1,11,1,288,1,1,288
0,0,131.0,131.0,1,0,0,1,2,1,11,1,2,3,289,1,1,289
84,0,100.0,200.0,0,0,0,2,2,1,11,22,49,8,290,1,1,290
71,0,65.5,131.0,0,0,0,1,2,1,11,22,2,13,291,1,1,291
16,0,123.0,246.0,1,0,0,1,2,1,11,22,3,17,292,1,1,292
54,0,123.0,369.0,0,0,0,2,2,1,11,20,47,3,293,1,1,293
8,0,131.0,393.0,0,0,0,1,2,1,11,20,2,3,294,1,1,294
36,0,104.68,732.76,0,0,0,2,2,1,11,7,15,11,295,1,1,295
40,0,166.0,1162.0,0,0,0,2,2,1,11,7,25,17,296,1,1,296
59,0,111.25,0.0,2,0,1,2,2,1,11,16,13,3,297,2,1,297
79,0,209.20499999999998,1673.6399999999999,0,1,0,2,5,1,11,16,8,9,298,1,1,298
32,0,178.0,1780.0,0,1,0,2,2,1,11,21,51,3,299,1,1,299
110,0,113.9,797.3000000000001,1,0,0,2,2,1,11,7,2,9,300,1,1,300
33,0,129.29,905.03,0,0,0,2,2,1,11,7,24,3,301,1,1,301
53,0,153.0,153.0,0,0,0,1,5,1,12,23,37,3,302,1,1,302
2,0,98.0,98.0,2,0,0,2,2,1,12,23,27,3,303,1,1,303
8,0,169.0,1014.0,2,0,0,2,3,1,12,6,27,3,304,1,1,304
72,0,93.0,0.0,2,0,1,2,2,1,12,6,2,3,305,2,1,305
12,0,132.29,926.03,0,0,0,1,2,1,12,7,2,3,306,1,1,306
48,0,123.0,861.0,1,0,0,1,2,1,12,7,13,16,307,1,1,307
90,0,117.22,820.54,1,0,0,6,2,1,12,7,52,11,308,1,1,308
34,0,149.0,1043.0,1,1,0,1,7,1,12,7,5,15,309,1,1,309
58,0,164.57,0.0,1,0,1,2,12,1,12,7,3,9,310,2,1,310
59,0,107.0,749.0,0,0,0,4,2,1,12,7,2,10,311,1,1,311
90,0,117.22,820.54,2,0,0,6,7,1,12,7,53,11,312,1,1,312
116,0,119.25,834.75,0,0,0,3,2,1,12,7,6,21,313,1,1,313
31,0,123.0,861.0,0,0,0,1,2,1,12,7,13,16,314,1,1,314
51,0,105.71,0.0,0,0,1,2,2,1,12,7,25,6,315,2,1,315
48,0,123.0,861.0,1,0,0,1,2,1,12,7,13,16,316,1,1,316
59,0,144.43,1011.01,2,0,0,1,2,1,12,7,24,3,317,1,1,317
97,0,126.0,0.0,1,0,1,2,2,1,12,28,6,3,318,2,1,318
12,0,148.3,1334.7,2,0,0,1,2,1,12,25,49,3,319,1,1,319
64,0,125.22,1126.98,1,0,0,2,2,1,12,25,2,3,320,1,1,320
31,0,123.0,1353.0,0,0,0,1,2,1,12,26,13,16,321,1,1,321
59,0,130.0,1430.0,1,0,0,4,2,1,12,26,49,16,322,1,1,322
55,0,133.16,0.0,1,2,1,3,13,1,12,8,13,7,323,3,1,323
81,0,78.84,551.88,0,0,0,1,2,1,12,7,2,39,324,1,1,324
1,0,80.1,80.1,0,0,0,2,2,1,12,23,2,3,325,1,1,325
34,0,193.0,386.0,1,0,0,1,5,1,12,24,11,3,326,1,1,326
13,0,88.2,176.4,0,0,0,1,2,1,12,24,2,3,327,1,1,327
40,0,90.71,181.42,0,0,0,1,2,1,12,24,54,6,328,1,1,328
1,0,114.5,229.0,1,0,0,1,2,1,12,24,55,3,329,1,1,329
34,0,120.2,240.4,1,0,0,1,2,1,12,24,2,3,330,1,1,330
88,0,79.5,238.5,0,1,0,4,2,1,12,20,13,7,331,1,1,331
9,0,117.9,353.70000000000005,3,0,0,1,2,1,12,20,2,3,332,1,1,332
24,0,128.0,0.0,0,0,1,2,2,1,12,20,25,3,333,2,1,333
97,0,90.95,363.8,0,0,0,1,2,1,12,15,23,33,334,1,1,334
60,0,107.0,428.0,2,2,0,1,7,1,12,15,6,3,335,1,1,335
100,0,130.05,520.2,1,0,0,1,5,1,12,15,37,9,336,1,1,336
50,0,123.0,615.0,0,0,0,4,2,1,12,12,13,15,337,1,1,337
47,0,103.8,0.0,0,0,1,2,2,1,12,12,12,6,338,3,1,338
8,0,196.0,980.0,1,0,0,1,5,1,12,12,22,3,339,1,1,339
