arrival_date,arrival_date_day_of_month,arrival_date_month,arrival_date_year,arrival_date_id
2016-04-27,27,April,2016,294
2016-04-28,28,April,2016,295
2016-04-29,29,April,2016,296
2016-04-30,30,April,2016,297
2016-05-01,1,May,2016,298
2016-05-02,2,May,2016,299
2016-05-03,3,May,2016,300
2016-05-04,4,May,2016,301
2016-05-05,5,May,2016,302
2016-05-06,6,May,2016,303
2016-05-07,7,May,2016,304
2016-05-08,8,May,2016,305
2016-05-09,9,May,2016,306
2016-05-10,10,May,2016,307
2016-05-11,11,May,2016,308
2016-05-12,12,May,2016,309
2016-05-13,13,May,2016,310
2016-05-14,14,May,2016,311
2016-05-15,15,May,2016,312
2016-05-16,16,May,2016,313
2016-05-17,17,May,2016,314
2016-05-18,18,May,2016,315
2016-05-19,19,May,2016,316
2016-05-20,20,May,2016,317
2016-05-21,21,May,2016,318
2016-05-22,22,May,2016,319
2016-05-23,23,May,2016,320
2016-05-24,24,May,2016,321
2016-05-25,25,May,2016,322
2016-05-26,26,May,2016,323
2016-05-27,27,May,2016,324
2016-05-28,28,May,2016,325
2016-05-29,29,May,2016,326
2016-05-30,30,May,2016,327
2016-05-31,31,May,2016,328
2016-06-01,1,June,2016,329
2016-06-02,2,June,2016,330
2016-06-03,3,June,2016,331
2016-06-04,4,June,2016,332
2016-06-05,5,June,2016,333
2016-06-06,6,June,2016,334
2016-06-07,7,June,2016,335
2016-06-08,8,June,2016,336
2016-06-09,9,June,2016,337
2016-06-10,10,June,2016,338
2016-06-11,11,June,2016,339
2016-06-12,12,June,2016,340
2016-06-13,13,June,2016,341
2016-06-14,14,June,2016,342
2016-06-15,15,June,2016,343
2016-06-16,16,June,2016,344
2016-06-17,17,June,2016,345
2016-06-18,18,June,2016,346
2016-06-19,19,June,2016,347
2016-06-20,20,June,2016,348
2016-06-21,21,June,2016,349
2016-06-22,22,June,2016,350
2016-06-23,23,June,2016,351
2016-06-24,24,June,2016,352
2016-06-25,25,June,2016,353
2016-06-26,26,June,2016,354
2016-06-27,27,June,2016,355
2016-06-28,28,June,2016,356
2016-06-29,29,June,2016,357
2016-06-30,30,June,2016,358
2016-07-01,1,July,2016,359
2016-07-02,2,July,2016,360
2016-07-03,3,July,2016,361
2016-07-04,4,July,2016,362
2016-07-05,5,July,2016,363
2016-07-06,6,July,2016,364
2016-07-07,7,July,2016,365
2016-07-08,8,July,2016,366
2016-07-09,9,July,2016,367
2016-07-10,10,July,2016,368
2016-07-11,11,July,2016,369
2016-07-12,12,July,2016,370
2016-07-13,13,July,2016,371
2016-07-14,14,July,2016,372
2016-07-15,15,July,2016,373
2016-07-16,16,July,2016,374
2016-07-17,17,July,2016,375
2016-07-18,18,July,2016,376
2016-07-19,19,July,2016,377
2016-07-20,20,July,2016,378
2016-07-21,21,July,2016,379
2016-07-22,22,July,2016,380
2016-07-23,23,July,2016,381
2016-07-24,24,July,2016,382
2016-07-25,25,July,2016,383
2016-07-26,26,July,2016,384
2016-07-27,27,July,2016,385
2016-07-28,28,July,2016,386
2016-07-29,29,July,2016,387
2016-07-30,30,July,2016,388
2016-07-31,31,July,2016,389
2016-08-01,1,August,2016,390
2016-08-02,2,August,2016,391
2016-08-03,3,August,2016,392
2016-08-04,4,August,2016,393
2016-08-05,5,August,2016,394
2016-08-06,6,August,2016,395
2016-08-07,7,August,2016,396
2016-08-08,8,August,2016,397
2016-08-09,9,August,2016,398
2016-08-10,10,August,2016,399
2016-08-11,11,August,2016,400
2016-08-12,12,August,2016,401
2016-08-13,13,August,2016,402
2016-08-14,14,August,2016,403
2016-08-15,15,August,2016,404
2016-08-16,16,August,2016,405
2016-08-17,17,August,2016,406
2016-08-18,18,August,2016,407
2016-08-19,19,August,2016,408
2016-08-20,20,August,2016,409
2016-08-21,21,August,2016,410
2016-08-22,22,August,2016,411
2016-08-23,23,August,2016,412
2016-08-24,24,August,2016,413
2016-08-25,25,August,2016,414
2016-08-26,26,August,2016,415
2016-08-27,27,August,2016,416
2016-08-28,28,August,2016,417
2016-08-29,29,August,2016,418
2016-08-30,30,August,2016,419
2016-08-31,31,August,2016,420
2016-09-01,1,September,2016,421
2016-09-02,2,September,2016,422
2016-09-03,3,September,2016,423
2016-09-04,4,September,2016,424
2016-09-05,5,September,2016,425
2016-09-06,6,September,2016,426
2016-09-07,7,September,2016,427
2016-09-08,8,September,2016,428
2016-09-09,9,September,2016,429
2016-09-10,10,September,2016,430
2016-09-11,11,September,2016,431
2016-09-12,12,September,2016,432
2016-09-13,13,September,2016,433
2016-09-14,14,September,2016,434
2016-09-15,15,September,2016,435
2016-09-16,16,September,2016,436
2016-09-17,17,September,2016,437
2016-09-18,18,September,2016,438
2016-09-19,19,September,2016,439
2016-09-20,20,September,2016,440
2016-09-21,21,September,2016,441
2016-09-22,22,September,2016,442
2016-09-23,23,September,2016,443
2016-09-24,24,September,2016,444
2016-09-25,25,September,2016,445
2016-09-26,26,September,2016,446
2016-09-27,27,September,2016,447
2016-09-28,28,September,2016,448
2016-09-29,29,September,2016,449
2016-09-30,30,September,2016,450
2016-10-01,1,October,2016,451
2016-10-02,2,October,2016,452
2016-10-03,3,October,2016,453
2016-10-04,4,October,2016,454
2016-10-05,5,October,2016,455
2016-10-06,6,October,2016,456
2016-10-07,7,October,2016,457
2016-10-08,8,October,2016,458
2016-10-09,9,October,2016,459
2016-10-10,10,October,2016,460
2016-10-11,11,October,2016,461
2016-10-12,12,October,2016,462
2016-10-13,13,October,2016,463
2016-10-14,14,October,2016,464
2016-10-15,15,October,2016,465
2016-10-16,16,October,2016,466
2016-10-17,17,October,2016,467
2016-10-18,18,October,2016,468
2016-10-19,19,October,2016,469
2016-10-20,20,October,2016,470
2016-10-21,21,October,2016,471
2016-10-22,22,October,2016,472
2016-10-23,23,October,2016,473
2016-10-24,24,October,2016,474
2016-10-25,25,October,2016,475
2016-10-26,26,October,2016,476
2016-10-27,27,October,2016,477
2016-10-28,28,October,2016,478
2016-10-29,29,October,2016,479
2016-10-30,30,October,2016,480
2016-10-31,31,October,2016,481
2016-11-01,1,November,2016,482
2016-11-02,2,November,2016,483
2016-11-03,3,November,2016,484
2016-11-04,4,November,2016,485
2016-11-05,5,November,2016,486
2016-11-06,6,November,2016,487
2016-11-07,7,November,2016,488
2016-11-08,8,November,2016,489
2016-11-09,9,November,2016,490
2016-11-10,10,November,2016,491
2016-11-11,11,November,2016,492
2016-11-12,12,November,2016,493
2016-11-14,14,November,2016,494
2016-11-15,15,November,2016,495
2016-11-16,16,November,2016,496
2016-11-17,17,November,2016,497
2016-11-18,18,November,2016,498
2016-11-19,19,November,2016,499
2016-11-20,20,November,2016,500
2016-11-21,21,November,2016,501
2016-11-22,22,November,2016,502
2016-11-23,23,November,2016,503
2016-11-24,24,November,2016,504
2016-11-25,25,November,2016,505
2016-11-26,26,November,2016,506
2016-11-27,27,November,2016,507
2016-11-28,28,November,2016,508
2016-11-29,29,November,2016,509
2016-11-30,30,November,2016,510
2016-12-01,1,December,2016,511
2016-12-02,2,December,2016,512
2016-12-03,3,December,2016,513
2016-12-04,4,December,2016,514
2016-12-05,5,December,2016,515
2016-12-06,6,December,2016,516
2016-12-07,7,December,2016,517
2016-12-08,8,December,2016,518
2016-12-09,9,December,2016,519
2016-12-10,10,December,2016,520
2016-12-11,11,December,2016,521
2016-12-12,12,December,2016,522
2016-12-13,13,December,2016,523
2016-12-14,14,December,2016,524
2016-12-15,15,December,2016,525
2016-12-16,16,December,2016,526
2016-12-17,17,December,2016,527
2016-12-18,18,December,2016,528
2016-12-19,19,December,2016,529
2016-12-20,20,December,2016,530
2016-12-21,21,December,2016,531
2016-12-22,22,December,2016,532
2016-12-23,23,December,2016,533
2016-12-24,24,December,2016,534
2016-12-25,25,December,2016,535
2016-12-26,26,December,2016,536
2016-12-27,27,December,2016,537
2016-12-28,28,December,2016,538
2016-12-29,29,December,2016,539
2016-12-30,30,December,2016,540
2016-12-31,31,December,2016,541
2017-01-01,1,January,2017,542
2017-01-02,2,January,2017,543
2017-01-03,3,January,2017,544
2017-01-04,4,January,2017,545
2017-01-05,5,January,2017,546
2017-01-06,6,January,2017,547
2017-01-07,7,January,2017,548
2017-01-08,8,January,2017,549
2017-01-09,9,January,2017,550
2017-01-10,10,January,2017,551
2017-01-11,11,January,2017,552
2017-01-12,12,January,2017,553
2017-01-13,13,January,2017,554
2017-01-14,14,January,2017,555
2017-01-15,15,January,2017,556
2017-01-16,16,January,2017,557
2017-01-17,17,January,2017,558
2017-01-18,18,January,2017,559
2017-01-19,19,January,2017,560
2017-01-20,20,January,2017,561
2017-01-21,21,January,2017,562
2017-01-22,22,January,2017,563
2017-01-23,23,January,2017,564
2017-01-24,24,January,2017,565
2017-01-25,25,January,2017,566
2017-01-26,26,January,2017,567
2017-01-27,27,January,2017,568
2017-01-28,28,January,2017,569
2017-01-29,29,January,2017,570
2017-01-30,30,January,2017,571
2017-01-31,31,January,2017,572
2017-02-01,1,February,2017,573
2017-02-02,2,February,2017,574
2017-02-03,3,February,2017,575
2017-02-04,4,February,2017,576
2017-02-05,5,February,2017,577
2017-02-06,6,February,2017,578
2017-02-07,7,February,2017,579
2017-02-08,8,February,2017,580
2017-02-09,9,February,2017,581
2017-02-10,10,February,2017,582
2017-02-11,11,February,2017,583
2017-02-12,12,February,2017,584
2017-02-13,13,February,2017,585
2017-02-14,14,February,2017,586
2017-02-15,15,February,2017,587
2017-02-16,16,February,2017,588
2017-02-17,17,February,2017,589
2017-02-18,18,February,2017,590
2017-02-19,19,February,2017,591
2017-02-20,20,February,2017,592
2017-02-21,21,February,2017,593
2017-02-22,22,February,2017,594
2017-02-23,23,February,2017,595
2017-02-24,24,February,2017,596
2017-02-25,25,February,2017,597
2017-02-26,26,February,2017,598
2017-02-27,27,February,2017,599
2017-02-28,28,February,2017,600
2017-03-01,1,March,2017,601
2017-03-02,2,March,2017,602
2017-03-03,3,March,2017,603
2017-03-04,4,March,2017,604
2017-03-05,5,March,2017,605
2017-03-06,6,March,2017,606
2017-03-07,7,March,2017,607
2017-03-08,8,March,2017,608
2017-03-09,9,March,2017,609
2017-03-10,10,March,2017,610
2017-03-11,11,March,2017,611
2017-03-12,12,March,2017,612
2017-03-13,13,March,2017,613
2017-03-14,14,March,2017,614
2017-03-15,15,March,2017,615
2017-03-16,16,March,2017,616
2017-03-17,17,March,2017,617
2017-03-18,18,March,2017,618
2017-03-19,19,March,2017,619
2017-03-20,20,March,2017,620
2017-03-22,22,March,2017,621
2017-03-23,23,March,2017,622
2017-03-24,24,March,2017,623
2017-03-25,25,March,2017,624
2017-03-26,26,March,2017,625
2017-03-27,27,March,2017,626
2017-03-28,28,March,2017,627
2017-03-29,29,March,2017,628
2017-03-30,30,March,2017,629
2017-03-31,31,March,2017,630
2017-04-01,1,April,2017,631
2017-04-02,2,April,2017,632
2017-04-03,3,April,2017,633
2017-04-04,4,April,2017,634
2017-04-05,5,April,2017,635
2017-04-06,6,April,2017,636
2017-04-07,7,April,2017,637
2017-04-08,8,April,2017,638
2017-04-09,9,April,2017,639
2017-04-10,10,April,2017,640
2017-04-11,11,April,2017,641
2017-04-12,12,April,2017,642
2017-04-13,13,April,2017,643
2017-04-14,14,April,2017,644
2017-04-15,15,April,2017,645
2017-04-16,16,April,2017,646
2017-04-17,17,April,2017,647
2017-04-18,18,April,2017,648
2017-04-19,19,April,2017,649
2017-04-20,20,April,2017,650
2017-04-21,21,April,2017,651
2017-04-22,22,April,2017,652
2017-04-23,23,April,2017,653
2017-04-24,24,April,2017,654
2017-04-25,25,April,2017,655
2017-04-26,26,April,2017,656
2017-04-27,27,April,2017,657
2017-04-28,28,April,2017,658
2017-04-29,29,April,2017,659
2017-04-30,30,April,2017,660
2017-05-01,1,May,2017,661
2017-05-02,2,May,2017,662
2017-05-03,3,May,2017,663
2017-05-04,4,May,2017,664
2017-05-05,5,May,2017,665
2017-05-06,6,May,2017,666
2017-05-07,7,May,2017,667
2017-05-08,8,May,2017,668
2017-05-09,9,May,2017,669
2017-05-10,10,May,2017,670
2017-05-11,11,May,2017,671
2017-05-12,12,May,2017,672
2017-05-13,13,May,2017,673
2017-05-14,14,May,2017,674
2017-05-15,15,May,2017,675
2017-05-16,16,May,2017,676
2017-05-17,17,May,2017,677
2017-05-18,18,May,2017,678
2017-05-19,19,May,2017,679
2017-05-20,20,May,2017,680
2017-05-21,21,May,2017,681
2017-05-22,22,May,2017,682
2017-05-23,23,May,2017,683
2017-05-24,24,May,2017,684
2017-05-25,25,May,2017,685
2017-05-26,26,May,2017,686
2017-05-27,27,May,2017,687
2017-05-28,28,May,2017,688
2017-05-29,29,May,2017,689
2017-05-30,30,May,2017,690
2017-05-31,31,May,2017,691
2017-06-01,1,June,2017,692
2017-06-02,2,June,2017,693
2017-06-03,3,June,2017,694
2017-06-04,4,June,2017,695
2017-06-05,5,June,2017,696
2017-06-06,6,June,2017,697
2017-06-07,7,June,2017,698
2017-06-08,8,June,2017,699
2017-06-09,9,June,2017,700
2017-06-10,10,June,2017,701
2017-06-11,11,June,2017,702
2017-06-12,12,June,2017,703
2017-06-13,13,June,2017,704
2017-06-14,14,June,2017,705
2017-06-15,15,June,2017,706
2017-06-16,16,June,2017,707
2017-06-17,17,June,2017,708
2017-06-18,18,June,2017,709
2017-06-19,19,June,2017,710
2017-06-20,20,June,2017,711
2017-06-21,21,June,2017,712
2017-06-22,22,June,2017,713
2017-06-23,23,June,2017,714
2017-06-24,24,June,2017,715
2017-06-25,25,June,2017,716
2017-06-26,26,June,2017,717
2017-06-27,27,June,2017,718
2017-06-28,28,June,2017,719
2017-06-29,29,June,2017,720
2017-06-30,30,June,2017,721
2017-07-01,1,July,2017,722
2017-07-02,2,July,2017,723
2017-07-03,3,July,2017,724
2017-07-04,4,July,2017,725
2017-07-05,5,July,2017,726
2017-07-06,6,July,2017,727
2017-07-07,7,July,2017,728
2017-07-08,8,July,2017,729
2017-07-09,9,July,2017,730
2017-07-10,10,July,2017,731
2017-07-11,11,July,2017,732
2017-07-12,12,July,2017,733
2017-07-13,13,July,2017,734
2017-07-14,14,July,2017,735
2017-07-15,15,July,2017,736
2017-07-16,16,July,2017,737
2017-07-17,17,July,2017,738
2017-07-18,18,July,2017,739
2017-07-19,19,July,2017,740
2017-07-20,20,July,2017,741
2017-07-21,21,July,2017,742
2017-07-22,22,July,2017,743
2017-07-23,23,July,2017,744
2017-07-24,24,July,2017,745
2017-07-25,25,July,2017,746
2017-07-26,26,July,2017,747
2017-07-27,27,July,2017,748
2017-07-28,28,July,2017,749
2017-07-29,29,July,2017,750
2017-07-30,30,July,2017,751
2017-07-31,31,July,2017,752
2017-08-01,1,August,2017,753
2017-08-02,2,August,2017,754
2017-08-03,3,August,2017,755
2017-08-04,4,August,2017,756
2017-08-05,5,August,2017,757
2017-08-06,6,August,2017,758
2017-08-07,7,August,2017,759
2017-08-08,8,August,2017,760
2017-08-09,9,August,2017,761
2017-08-10,10,August,2017,762
2017-08-11,11,August,2017,763
2017-08-12,12,August,2017,764
2017-08-13,13,August,2017,765
2017-08-14,14,August,2017,766
2017-08-15,15,August,2017,767
2017-08-16,16,August,2017,768
2017-08-17,17,August,2017,769
2017-08-18,18,August,2017,770
2017-08-19,19,August,2017,771
2017-08-20,20,August,2017,772
2017-08-21,21,August,2017,773
2017-08-22,22,August,2017,774
2017-08-23,23,August,2017,775
2017-08-24,24,August,2017,776
2017-08-25,25,August,2017,777
2017-08-26,26,August,2017,778
2017-08-27,27,August,2017,779
2017-08-28,28,August,2017,780
2017-08-29,29,August,2017,781
2017-08-30,30,August,2017,782
2017-08-31,31,August,2017,783
2016-01-20,20,January,2016,784
2015-12-15,15,December,2015,785
2015-12-09,9,December,2015,786
2017-03-21,21,March,2017,787
2016-01-11,11,January,2016,788
2015-12-16,16,December,2015,789
2015-11-22,22,November,2015,790
2016-01-24,24,January,2016,791
2016-03-06,6,March,2016,792
2016-11-13,13,November,2016,793
