assigned_room_type,reserved_room_type,meal,required_car_parking_spaces,reservation_details_id
B,A,FB,1,90
H,H,HB,1,91
G,D,BB,1,92
I,A,SC,0,93
G,F,BB,1,94
F,F,BB,1,95
H,C,BB,0,96
F,G,BB,0,97
G,A,BB,1,98
F,D,HB,1,99
B,A,BB,1,100
F,A,HB,0,101
G,C,BB,0,102
A,A,SC,0,103
G,E,BB,1,104
H,A,HB,0,105
D,E,HB,0,106
E,F,BB,1,107
E,D,BB,2,108
G,F,BB,0,109
A,A,Undefined,0,110
C,A,SC,0,111
F,A,Undefined,0,112
C,A,Undefined,0,113
D,A,Undefined,0,114
E,A,Undefined,0,115
B,A,Undefined,0,116
D,A,FB,1,117
I,D,SC,0,118
I,E,FB,0,119
G,G,FB,0,120
I,A,HB,0,121
I,E,HB,0,122
A,A,BB,2,123
I,A,BB,1,124
D,D,Undefined,1,125
C,D,HB,1,126
D,D,Undefined,0,127
C,C,Undefined,0,128
D,A,SC,0,129
I,A,BB,0,130
A,D,BB,0,131
I,E,SC,0,132
E,D,FB,0,133
D,E,BB,0,134
I,E,BB,0,135
G,E,HB,0,136
E,E,Undefined,0,137
H,A,Undefined,0,138
G,G,Undefined,0,139
I,D,BB,0,140
D,F,HB,0,141
H,F,BB,1,142
I,F,SC,1,143
I,C,BB,1,144
F,G,BB,1,145
E,E,HB,2,146
I,E,HB,1,147
A,F,BB,0,148
F,D,Undefined,0,149
A,C,BB,1,150
L,L,BB,0,151
E,C,BB,0,152
A,L,BB,0,153
F,F,Undefined,0,154
G,F,Undefined,1,155
I,A,SC,1,156
I,D,BB,1,157
H,E,BB,0,158
F,F,FB,1,159
G,C,BB,1,160
A,D,HB,0,161
B,B,BB,0,162
B,L,BB,0,163
H,G,HB,0,164
H,G,HB,1,165
G,F,HB,2,166
D,C,BB,0,167
G,F,HB,1,168
H,D,BB,1,169
E,F,HB,0,170
H,D,BB,0,171
D,D,BB,2,172
G,A,HB,0,173
G,A,HB,1,174
H,C,BB,1,175
H,A,FB,0,176
H,A,FB,1,177
G,E,HB,1,178
G,C,HB,0,179
D,H,HB,0,180
D,E,BB,1,181
E,D,Undefined,0,182
G,H,BB,0,183
E,E,Undefined,1,184
F,A,HB,1,185
A,E,BB,0,186
E,A,Undefined,1,187
D,C,BB,1,188
A,C,BB,0,189
E,E,BB,2,190
I,D,SC,1,191
I,F,BB,1,192
I,G,HB,1,193
I,H,BB,0,194
I,G,BB,1,195
G,G,BB,2,196
G,E,FB,0,197
C,C,Undefined,1,198
H,H,FB,1,199
F,F,Undefined,1,200
C,A,FB,1,201
A,A,Undefined,1,202
A,A,HB,2,203
B,C,BB,0,204
H,H,BB,2,205
I,H,BB,1,206
C,E,BB,0,207
H,D,FB,1,208
G,D,HB,1,209
I,E,HB,8,210
F,E,HB,8,211
A,E,HB,0,212
H,D,HB,0,213
I,F,BB,0,214
I,E,BB,1,215
B,A,HB,1,216
G,H,HB,0,217
I,C,SC,0,218
G,A,SC,0,219
C,A,Undefined,1,220
D,A,Undefined,1,221
D,A,BB,2,222
E,G,BB,0,223
I,A,Undefined,0,224
F,E,Undefined,0,225
F,C,BB,1,226
G,F,HB,0,227
I,D,HB,1,228
E,A,FB,1,229
C,A,BB,2,230
I,A,HB,1,231
I,C,HB,0,232
I,C,BB,0,233
I,G,SC,0,234
A,A,BB,3,235
I,F,SC,0,236
H,F,BB,0,237
G,D,FB,1,238
H,E,HB,1,239
I,A,Undefined,1,240
A,D,BB,1,241
F,A,SC,0,242
A,F,SC,0,243
D,B,HB,0,244
B,B,HB,0,245
K,A,HB,0,246
B,B,BB,1,247
A,A,SC,1,248
D,B,BB,0,249
E,B,BB,0,250
F,F,SC,1,251
F,F,SC,0,252
B,F,BB,0,253
E,A,SC,0,254
B,A,SC,0,255
K,E,SC,0,256
K,A,BB,0,257
D,D,SC,0,258
E,D,SC,0,259
A,D,SC,0,260
K,A,SC,0,261
G,B,BB,0,262
A,B,BB,0,263
D,A,SC,1,264
K,B,SC,0,265
A,G,SC,0,266
B,B,SC,0,267
E,E,SC,0,268
F,G,HB,0,269
K,D,BB,0,270
P,P,SC,0,271
G,G,SC,0,272
D,F,BB,0,273
F,A,SC,1,274
G,F,SC,0,275
A,G,BB,0,276
B,D,BB,0,277
E,A,SC,1,278
E,G,FB,1,279
F,G,FB,0,280
A,C,SC,0,281
C,C,SC,0,282
E,D,FB,1,283
B,E,BB,0,284
K,A,SC,1,285
A,D,HB,1,286
B,F,BB,1,287
F,B,BB,0,288
G,A,SC,1,289
E,B,BB,1,290
B,D,BB,1,291
D,B,SC,0,292
K,D,SC,0,293
B,A,SC,1,294
B,G,BB,0,295
B,E,SC,0,296
K,E,BB,0,297
F,B,BB,1,298
A,E,BB,1,299
B,F,HB,0,300
K,A,BB,1,301
K,G,BB,0,302
A,B,HB,0,303
K,F,BB,0,304
K,D,HB,1,305
K,G,SC,0,306
D,D,SC,1,307
A,A,SC,3,308
G,E,SC,0,309
K,E,SC,1,310
F,F,BB,2,311
K,D,HB,0,312
