agent,market_segment,distribution_channel,market_key
227.0,Corporate,Corporate,521
247.0,Direct,TA/TO,522
278.0,Corporate,Corporate,523
280.0,Corporate,Corporate,524
285.0,Offline TA/TO,TA/TO,525
36.0,Groups,TA/TO,526
289.0,Offline TA/TO,TA/TO,527
269.0,Offline TA/TO,TA/TO,528
42.0,Complementary,TA/TO,529
295.0,Offline TA/TO,TA/TO,530
265.0,Offline TA/TO,TA/TO,531
303.0,Corporate,Corporate,532
306.0,Offline TA/TO,TA/TO,533
335.0,Corporate,Corporate,534
288.0,Direct,Direct,535
85.0,Complementary,TA/TO,536
122.0,Corporate,Corporate,537
294.0,Offline TA/TO,TA/TO,538
325.0,Corporate,Corporate,539
341.0,Complementary,Corporate,540
341.0,Corporate,Corporate,541
1.0,Complementary,TA/TO,542
344.0,Offline TA/TO,TA/TO,543
6.0,Complementary,TA/TO,544
111.0,Groups,TA/TO,545
346.0,Offline TA/TO,TA/TO,546
359.0,Offline TA/TO,TA/TO,547
94.0,Complementary,TA/TO,548
83.0,Complementary,TA/TO,549
283.0,Corporate,Corporate,550
364.0,Offline TA/TO,TA/TO,551
370.0,Corporate,Corporate,552
371.0,Offline TA/TO,TA/TO,553
25.0,Offline TA/TO,TA/TO,554
141.0,Complementary,TA/TO,555
141.0,Offline TA/TO,TA/TO,556
378.0,Offline TA/TO,TA/TO,557
391.0,Offline TA/TO,TA/TO,558
132.0,Complementary,TA/TO,559
17.0,Complementary,TA/TO,560
397.0,Corporate,Corporate,561
12.0,Complementary,TA/TO,562
416.0,Offline TA/TO,TA/TO,563
404.0,Offline TA/TO,TA/TO,564
299.0,Offline TA/TO,TA/TO,565
10.0,Online TA,GDS,566
197.0,Corporate,Corporate,567
73.0,Corporate,Corporate,568
159.0,Complementary,TA/TO,569
354.0,Online TA,TA/TO,570
444.0,Corporate,Corporate,571
408.0,Corporate,Corporate,572
20.0,Complementary,TA/TO,573
98.0,Offline TA/TO,Corporate,574
461.0,Offline TA/TO,TA/TO,575
205.0,Groups,TA/TO,576
388.0,Offline TA/TO,TA/TO,577
453.0,Offline TA/TO,TA/TO,578
467.0,Offline TA/TO,TA/TO,579
459.0,Groups,Corporate,580
474.0,Offline TA/TO,TA/TO,581
455.0,Offline TA/TO,TA/TO,582
475.0,Offline TA/TO,TA/TO,583
394.0,Complementary,Direct,584
480.0,Offline TA/TO,TA/TO,585
0.0,Online TA,GDS,586
10.0,Corporate,TA/TO,587
495.0,Corporate,Corporate,588
449.0,Offline TA/TO,TA/TO,589
98.0,Groups,TA/TO,590
